10000 20000
8668 8925 95
291 3196 36
5555 6862 29
5677 7319 33
3992 7735 97
6581 3712 95
7193 2009 49
3232 2037 3
9497 261 86
9871 2984 61
4212 6773 74
501 5928 73
2015 8475 12
4141 746 82
8539 8067 55
331 8836 43
2996 459 75
3912 7583 64
8491 6734 30
3478 7134 19
7048 2806 86
931 4016 49
1425 1602 60
1564 6709 26
7569 8569 33
8603 2037 6
1176 5666 14
514 9231 45
3605 6747 63
4629 2771 19
3499 1999 9
6540 4463 45
4367 9611 70
6840 6536 23
8672 2283 36
138 5817 75
2115 7856 11
4227 5886 79
8214 9973 16
4662 5303 78
9511 9664 58
7041 945 50
5525 502 13
3746 9363 58
1207 3627 94
4161 8645 80
8506 5825 1
6200 3530 98
604 4936 84
2538 2368 37
3124 4546 74
7842 3682 24
7282 6021 90
8644 9704 50
1590 8597 33
2208 367 8
5067 9605 64
6457 2114 19
2961 9231 28
8000 5856 67
924 6058 34
2753 4064 23
4036 3681 68
3569 3368 93
4731 5723 36
8836 5613 44
7659 9824 66
4344 4052 53
8299 9160 35
6337 1919 51
2010 6393 21
8508 5601 78
3629 1089 34
3350 2176 65
2780 6409 58
805 8415 31
6316 2332 30
7984 6034 41
5189 5203 11
5063 1278 37
5291 9917 6
6570 6311 69
1833 9666 9
2566 8219 45
2902 7977 87
6298 561 52
8574 5910 29
250 3792 57
140 1596 19
2558 2148 94
4957 4227 34
7482 3421 5
9037 561 61
7533 717 59
3096 6381 54
6846 3903 94
1917 5656 58
7346 7541 58
3440 4583 6
3333 6163 30
4444 6506 11
7083 1951 15
8927 3282 96
4541 2255 87
9927 3185 4
455 6739 95
2661 139 76
8217 2070 78
8024 3723 96
1078 6078 12
6905 4468 63
966 5950 25
8878 4118 47
8146 9999 45
6357 3148 73
9902 4072 49
3442 9566 81
9395 1912 36
7287 9826 25
6102 4770 86
7327 985 99
3191 8758 43
2456 4828 16
9196 117 27
2852 5724 69
983 486 16
8131 8030 94
6432 190 42
2160 4863 96
3438 9757 35
9324 8638 61
4540 4516 3
7521 3364 34
5677 4491 45
753 444 33
2887 5069 94
5250 8541 57
8914 6389 47
1322 9878 36
3387 725 87
2920 6692 60
1583 6052 73
8705 4880 56
7903 948 40
8129 1565 88
830 3462 41
1302 7899 37
1271 7555 38
288 9023 92
6985 7240 20
1419 9348 45
8000 6467 41
9424 1720 52
1823 38 60
9262 7717 56
3392 4898 91
6396 6374 65
298 2632 53
6592 8353 74
5331 6467 44
7648 1690 57
9078 481 17
6489 3312 18
409 6801 91
5096 9936 72
5555 3022 43
974 8338 11
1443 9928 21
9113 4786 16
1251 2145 92
6344 9895 33
1190 9991 27
1320 4707 82
6823 4753 56
106 7045 89
4750 926 68
1886 7392 68
2555 2535 52
1832 7338 78
7420 6072 36
1342 3737 96
5722 4766 94
4342 5497 33
8259 4270 31
9868 6662 37
179 6702 47
9596 7834 89
6868 8273 86
4755 3100 64
6130 6494 10
8396 2321 44
9011 361 76
4410 4775 98
1187 2957 37
4789 8696 81
585 6966 59
5675 1499 46
5322 8725 56
7200 9360 8
7088 8858 21
5465 5500 67
2805 2628 41
3948 3098 47
8678 297 78
6916 5444 3
3482 2192 54
2240 9596 59
4801 3191 91
612 490 81
1636 3629 24
3061 5799 43
89 2901 60
4998 9592 49
9472 724 1
7622 4717 17
5916 1727 57
7471 7885 83
8879 7819 54
701 1414 60
9252 8909 75
7859 1482 40
7259 4149 31
1362 7611 26
507 9804 58
6154 8402 86
1524 8813 14
683 5892 11
6711 160 90
4391 2289 46
8684 1819 48
5715 1507 10
6249 8961 3
2237 8037 99
293 4427 19
9777 3628 35
8375 2215 23
3848 7874 37
8548 3533 30
2606 35 99
6450 9947 75
956 9704 28
8758 3061 71
7434 733 81
9835 8596 14
7733 5895 36
8777 7913 38
9780 4570 25
8775 787 57
4516 5820 34
7454 2122 47
7165 9911 35
9930 9523 8
8090 5164 53
7009 8280 81
1584 7066 54
360 8792 78
1418 8469 82
7010 1549 62
5079 9199 84
1407 1627 37
1624 7965 22
6278 9837 56
3605 6935 34
9257 4040 21
8754 8459 27
5310 9840 10
7651 7527 100
1558 8524 50
4784 4042 62
3921 8021 12
4658 7894 87
511 8599 30
5444 9588 20
4733 60 34
9332 4903 59
8061 1922 65
72 6084 63
9520 2822 15
9039 7887 49
7376 996 8
8839 9852 85
5004 7541 2
6888 2968 42
8388 1423 61
4194 5534 85
3360 6835 35
1360 3403 65
8486 9482 64
3977 9134 14
1420 89 47
2773 3732 62
6205 4083 24
6266 9853 28
132 1942 67
9344 1015 61
1245 6859 4
931 5257 9
957 6400 85
1886 744 43
8366 1062 57
8999 9368 57
6509 387 45
389 3696 88
1249 53 90
4488 7004 79
7876 9996 96
9422 3091 93
3451 8218 94
6153 4825 52
3200 2506 46
1841 7558 1
6482 7728 47
6692 8843 5
8342 9977 9
2410 8629 64
4237 92 7
8200 7947 45
1621 8307 9
2878 682 23
6289 4892 24
4656 1000 74
2923 4220 90
849 1233 27
6366 5395 69
8969 7755 2
3538 7346 73
2864 8992 29
8833 1398 37
5148 8299 54
6237 7543 82
3934 8860 7
8715 4302 69
6059 216 46
4564 7251 20
1542 254 74
4999 1443 57
802 2811 66
9048 1170 47
1652 1484 12
8961 937 12
4388 8195 78
6423 4622 71
2519 5195 20
2267 1938 88
1352 4868 6
5240 2994 6
239 5306 33
5249 3079 17
6760 5376 74
9034 6627 59
7703 9906 88
6245 5244 34
9245 3632 61
2046 9284 15
6104 9409 79
1005 4744 27
2865 9268 35
4637 3422 50
9490 3133 87
4049 5734 38
2746 6574 53
3579 1409 3
2592 8605 45
985 8323 60
2326 4581 85
8562 466 9
4623 3403 73
7084 4140 61
6161 5086 84
6180 1818 5
1058 5230 51
8620 2507 76
4551 8494 73
9408 7216 60
2525 1259 92
9589 8133 77
5215 7683 95
7181 9452 38
4596 4755 98
493 4460 48
4542 4137 23
188 2912 82
1063 2207 32
9837 7733 74
7692 2320 100
79 9915 66
9541 3120 45
8343 4621 28
622 7411 16
1631 5205 67
4290 315 11
520 4917 45
3192 8445 43
355 6202 97
6766 3945 59
8805 255 90
2950 5580 99
8452 6396 44
9004 6836 52
7131 4427 48
7710 400 59
2004 2560 43
5844 5972 59
9479 5531 9
8525 3893 78
8055 9787 87
670 9170 27
509 3880 68
6820 4436 73
7906 6898 29
6451 9388 22
5116 9590 72
3126 7985 80
5991 9653 17
2890 8047 30
7558 2515 37
8567 4582 98
8842 1279 42
7059 1930 9
5318 9423 8
1676 2182 91
6309 4595 55
1116 4565 28
7843 9073 32
8690 4356 88
7296 4621 100
1686 3002 4
8314 7006 86
1269 7929 22
4500 1323 30
8155 8260 69
9185 2991 20
4999 6493 64
326 4480 13
9462 252 47
2430 7910 16
322 2726 15
1512 6924 99
7527 1707 90
8302 5620 59
1235 8084 72
5234 8418 39
5226 593 29
4826 8450 52
9932 8758 29
2759 3518 13
11 3995 72
2668 4962 25
4829 8333 32
4428 3002 100
3696 8426 96
8680 8938 24
5926 5015 94
7435 5 74
4891 4504 48
9038 8661 89
2997 4751 99
8206 2152 15
7795 8606 85
3525 2702 93
8288 6408 32
5327 9966 18
5574 3304 63
8314 2593 100
9144 3953 10
83 8997 74
1557 593 99
9118 2887 100
5169 843 34
5998 2286 5
5428 5987 29
3654 630 40
8201 5646 23
5034 4534 71
2004 9758 44
131 5628 28
5483 1730 46
2040 1544 48
6855 7297 76
2555 9534 55
2951 4130 26
1473 6009 72
7704 2094 69
6792 7609 8
1002 9747 63
9614 7591 33
2236 6816 14
8069 3197 94
1677 443 78
1850 6181 84
3089 3327 69
2160 5753 39
9443 5429 88
1425 6462 48
7513 7916 9
7425 4574 20
9995 6585 54
7961 7965 36
2428 8399 16
6769 8428 98
8808 1729 25
4135 9614 75
6144 7077 85
943 5291 97
8097 9886 31
2933 6108 82
9181 6399 86
4868 6879 13
705 6706 32
8663 6879 4
137 9901 40
7374 5332 31
6195 160 91
8708 296 46
9941 8545 4
8451 3162 15
4354 2966 12
7560 1043 54
7914 2728 1
7620 5381 45
1972 4547 30
8911 8978 37
716 2731 1
2297 5115 78
6155 6123 70
5047 361 69
6882 4043 88
708 2595 15
8287 6192 84
2308 4610 81
4599 7778 37
7365 7871 89
9505 2387 86
1470 7863 67
4296 3838 75
1990 6782 37
7559 4225 27
7360 9102 32
4337 8304 88
840 1640 87
2552 2882 77
3294 4141 56
1118 5674 38
2771 7039 1
4765 355 40
2209 67 62
6756 527 66
3235 9238 54
2572 859 84
8551 2968 44
4339 2284 39
8950 5849 65
7769 5107 74
4779 681 23
7441 8524 79
2315 2402 37
7249 8999 10
859 5083 12
8395 8401 85
5389 6139 95
1997 2402 24
9376 7410 74
2498 3750 31
5542 3564 34
153 3055 36
3919 3237 45
6551 6105 54
2854 5562 7
6568 6610 13
9382 3994 89
7709 5949 29
9452 227 77
5086 1197 35
394 5408 1
2658 3445 96
4340 5658 38
1040 9719 41
1813 8054 31
4530 4420 91
8870 7404 20
1746 8976 67
2981 7647 8
7713 4457 34
7288 7926 85
5109 8344 8
5511 3319 41
7370 6272 94
7875 8024 70
7060 2357 24
7562 6782 5
7616 747 54
8233 5729 71
2291 5148 5
2631 6695 35
7353 567 21
14 1776 93
1453 4319 64
7814 885 15
7498 451 81
7021 462 49
5055 3101 50
2932 6234 65
3068 7986 2
4042 4155 36
3469 5057 93
6216 276 61
321 8761 36
3470 8163 12
888 2905 90
1580 8141 10
5946 3916 57
2952 326 42
5185 4959 18
6752 4326 76
7232 8571 11
2950 294 55
9158 7052 8
6929 2136 33
9125 2194 3
6795 9289 69
4335 6273 57
401 4753 28
9487 1717 96
6836 1683 19
1917 6776 67
5336 2302 3
200 9953 71
1851 5175 12
2343 7248 24
3695 3490 39
9421 2823 80
6229 3603 90
7465 2991 33
69 3931 71
3145 4780 30
8272 3165 79
9762 9480 23
7602 6548 30
8278 2291 23
2220 8005 24
4514 3524 86
4369 5283 51
9688 947 38
9795 5393 55
293 4197 35
2 2009 59
2813 5341 98
828 2375 18
7127 3406 32
9589 9832 33
2989 7102 97
2849 770 91
4046 4102 51
4506 8701 74
9794 9226 83
4713 8093 35
5878 4804 20
653 3140 79
8348 7440 74
4505 1053 50
7876 3630 30
6358 3993 44
636 9634 11
4987 6998 13
1425 1874 56
2982 9417 56
5634 2885 25
2505 4293 95
3401 6735 85
2598 2300 92
6430 1534 49
2284 6301 95
5145 2244 25
4929 3734 62
4568 7574 50
2469 6680 72
90 6557 44
8489 178 29
3044 9099 56
6421 3972 66
3589 5959 38
5118 8931 82
6910 2255 81
1921 4047 28
2028 3202 48
5491 5680 30
725 7142 75
6597 8585 35
5386 9964 42
6914 4019 80
5359 9697 89
3394 5357 13
6224 9221 84
1223 741 51
1378 2207 17
7195 9924 24
3300 4500 20
2786 8976 40
4674 4874 92
8002 4942 15
4542 401 48
8334 7625 21
7860 2823 14
6632 3877 3
89 7381 41
8983 801 30
4502 4991 84
1961 3704 28
7548 6981 39
4959 7392 82
848 1522 67
1183 1273 19
2699 4581 66
1145 709 100
9652 9651 6
7077 1356 51
5095 5999 51
6406 246 80
181 3462 12
5765 9077 99
566 8410 77
4068 6296 95
1791 5358 69
1716 8820 90
3942 8048 48
7087 3122 62
12 2379 43
3873 5255 54
9740 8145 80
6950 5387 7
4805 4695 26
997 4485 28
77 8748 58
6136 2342 67
213 1098 33
653 7643 38
3279 8868 64
831 4319 73
4958 795 28
7756 6765 92
4567 3511 62
3298 6732 11
7487 190 39
5348 770 68
1862 4307 10
289 8730 58
5627 2341 20
8843 6852 44
4921 6506 24
4657 4265 84
4350 7110 2
4274 4187 99
9141 172 83
3391 2254 55
2151 5908 9
522 7950 40
2260 1484 21
1544 2333 27
6789 8625 82
5576 1997 79
6248 3187 74
8926 3352 76
4872 4729 11
9184 2437 41
5346 3706 41
2958 6096 25
1997 6450 64
5159 2281 98
3702 1068 86
4119 5661 37
4973 8902 79
5544 2722 39
5526 128 24
7005 1844 71
8858 8522 78
9952 9532 11
1361 3341 88
4099 7870 34
7824 6481 12
9662 6372 28
4703 2718 12
7038 5496 59
396 4241 44
4299 9705 83
5635 2701 18
270 1283 30
2611 1007 30
8544 6358 75
1621 8373 91
4559 5329 41
2522 9822 32
7806 6769 7
9713 3272 63
8293 3138 96
8037 9194 52
8767 7052 71
4873 5512 52
990 8065 76
7271 3851 90
6993 3693 45
3563 4377 29
5833 7399 86
6990 4892 36
5531 5476 78
3719 9724 90
8811 2532 99
1088 9859 47
1057 5153 87
24 4575 88
234 7132 42
4989 5171 25
4635 216 95
6886 809 73
3915 8380 96
3226 2228 52
602 6010 79
7501 7834 74
2013 5330 14
9535 3867 19
1699 2713 8
7252 2759 47
6592 3099 41
8455 478 46
4749 6079 22
9862 7131 30
7575 628 7
9050 3976 65
4172 7779 62
9741 9426 35
7234 7176 62
2560 5058 74
5160 1282 17
4217 1208 83
6049 2858 26
9436 4954 100
8689 3231 60
3300 4583 54
9098 9174 89
7339 8196 66
321 1247 8
3208 2198 35
7171 658 67
4336 1446 59
7260 2667 48
1768 6965 13
578 1043 28
2501 5034 68
5053 9306 31
2702 7630 73
617 742 25
520 8373 72
1518 7266 91
1103 9837 75
7575 2934 34
6455 6172 84
1425 260 80
4800 5529 53
9570 3020 77
8562 9021 48
5509 3561 12
4812 1635 58
3016 8399 61
4036 8290 98
3609 1989 56
9948 6164 88
92 2080 75
7253 8490 78
8196 6942 90
4939 1596 46
853 2121 55
9576 6714 34
494 1665 2
7756 4525 93
5929 3466 56
7556 3880 63
8751 4410 60
1778 7503 66
4913 2617 41
4537 8032 98
3918 4757 71
3283 3493 77
5022 8445 51
7193 9767 34
1501 7710 55
5744 2213 97
4913 5022 60
9463 8708 50
4168 7242 45
9805 9869 89
3231 2676 6
1865 7158 60
437 3224 28
4464 889 93
5355 4962 65
8686 3737 24
6013 5056 5
4929 2361 46
8197 2518 74
4085 2441 74
5186 958 8
1574 392 8
7208 3542 56
1426 5792 64
82 8371 25
7393 1921 34
8377 7153 71
8581 5796 45
592 5456 82
2975 3795 66
3315 5817 25
3633 1505 40
2857 9320 47
3095 2411 34
2919 5905 62
3229 8158 44
3084 2665 61
3828 9913 56
2456 8576 55
4147 1603 4
5980 8943 45
9400 2275 17
9132 6633 65
3867 8320 78
6616 6173 48
1831 5790 77
966 8413 48
1163 1296 25
4387 1248 11
7204 9364 11
4889 599 35
8086 5620 69
6022 4715 25
7874 9847 26
799 1563 13
6934 3283 21
105 881 65
8738 2700 1
9727 3971 58
7615 870 71
3241 6378 7
2221 6412 80
4675 6335 31
4522 890 19
108 2701 31
6103 4717 86
6641 6624 96
1426 55 74
7896 4494 44
6680 8006 100
7561 391 84
4759 6917 26
9162 8429 24
4558 4503 62
3477 6967 43
3892 1941 76
2091 8836 32
4667 6751 60
7543 5533 92
2855 8869 41
6038 8210 40
2207 7135 75
3155 8017 90
1973 293 26
4828 7696 41
747 6693 3
9477 5908 85
9472 622 67
4625 4759 46
3292 9660 79
5029 9101 62
9487 4106 52
2808 2756 50
5223 4087 36
8031 6408 44
4367 167 35
3585 850 23
7902 8837 35
8471 9524 86
5987 8124 81
3276 6235 65
8438 5143 37
3585 7536 26
14 1605 92
7406 4162 34
7658 341 60
7093 4106 16
8609 2883 65
7321 7880 85
249 87 44
3193 2286 44
2173 3572 28
9889 4865 63
7777 1608 31
96 7135 63
335 1897 14
2961 1802 57
1661 493 8
2904 9468 28
5723 9438 27
644 8034 24
4505 8236 12
7978 6713 67
975 5548 49
7384 634 76
6601 2832 51
5570 8975 39
7645 1170 88
4549 274 8
5112 6754 73
166 4922 12
9276 8171 48
308 4073 55
6635 3354 19
3290 582 41
3876 6160 29
1636 9609 55
2569 6714 66
2169 8302 56
7357 8356 54
7726 3654 83
1373 9476 60
1272 3546 61
8698 920 6
3857 8313 3
4227 5451 63
9260 3820 93
4015 6941 28
5616 3205 69
3668 1789 67
899 1391 34
644 3055 9
7199 316 3
8120 3401 79
3704 3283 76
6237 6665 28
3237 727 100
3534 7987 47
6600 7776 44
7872 8762 2
1412 1241 32
1634 6445 29
2713 4174 74
5674 9742 80
653 7591 27
6562 2537 35
8513 2854 25
439 2641 71
7895 3583 51
6134 7329 57
2076 9455 38
323 1078 94
2471 265 29
6915 368 24
4319 6352 81
8666 5998 35
8754 9766 34
2275 8562 87
8914 8454 13
3393 795 92
5253 6332 8
2124 7551 57
9026 6090 32
7495 8492 89
3822 9843 16
6642 7246 17
2940 9289 83
1076 5819 33
8780 6344 83
9668 1020 2
4172 8040 79
1268 3673 1
234 4515 100
1831 9508 31
5837 6716 91
8951 307 56
3186 9327 21
6537 7841 59
9923 2922 55
2577 2421 84
3573 5006 26
2077 5159 53
8939 9689 88
3585 2484 18
8351 5198 32
5255 2840 84
3388 5273 78
664 8001 3
4319 2036 71
8732 7419 54
7135 4359 35
4401 6513 11
9581 6268 19
1873 6848 79
9713 4712 73
4383 657 95
6429 4162 81
6277 3671 9
8417 2742 6
6256 2767 42
6632 3576 85
8949 9254 43
7132 3106 61
5508 3099 37
2530 5213 88
3283 1298 55
9501 8896 9
3105 6708 25
8495 6446 64
6011 1869 57
2090 8529 66
110 4135 5
3912 6644 97
2667 5575 13
3473 8744 36
8754 5817 25
738 977 51
6853 8216 9
2826 8483 55
5377 9598 77
837 7952 30
43 6849 61
4462 3596 58
6955 5289 48
8114 7056 21
4479 6779 48
3180 7941 49
345 2443 67
7991 9557 55
8813 1744 49
9923 1926 34
4253 5889 18
757 868 85
3246 3055 50
5763 8939 64
4877 5325 81
5178 6545 25
5651 3539 32
8806 325 86
3059 4783 54
3184 7391 28
2948 2475 12
6772 7524 22
9164 1348 7
4972 6779 58
9147 3724 30
7851 5895 18
3267 6579 72
6108 1645 67
4153 9532 57
7749 1610 97
5537 2240 35
8161 3973 91
7243 2545 68
8091 7346 4
5180 2417 52
467 7478 67
9217 4030 32
1199 3966 12
9825 4310 64
2985 6009 66
549 8054 38
8767 916 87
3159 9389 82
4272 9784 59
1915 3233 59
7453 7278 43
2394 3851 63
588 5149 29
7219 5684 43
4531 1081 50
713 718 31
5682 9567 90
5679 3493 8
1628 1873 20
901 5959 44
527 7281 98
8986 3509 60
8261 4564 60
5150 1901 73
9738 9663 59
6174 7663 82
7785 2024 91
6275 3716 39
5980 14 66
5113 1413 30
9043 947 31
174 8660 58
1577 9895 92
5061 3859 51
9846 606 43
3858 1661 92
6623 6424 67
6185 3267 19
6433 654 24
1323 4991 12
7988 8799 56
4072 9560 50
2310 9384 55
5640 1088 53
6020 8188 90
7549 9807 48
3425 1830 15
9919 5167 21
4560 250 89
4025 2952 1
7021 7860 35
4293 1197 61
7291 4081 77
8371 9979 2
490 3449 80
7617 8227 7
4039 3027 20
4082 8590 39
4578 2940 77
2980 8821 7
4213 137 7
48 5371 84
738 3532 72
799 9821 55
9490 6706 37
4533 247 85
5901 2482 85
9785 1581 33
693 8448 72
5158 2022 58
6292 8334 70
1027 900 92
5853 1126 88
4705 7618 60
8666 7604 30
8483 9673 28
6816 1226 86
5120 5075 46
1436 346 27
4913 1805 7
6598 4059 95
5967 7872 35
6501 2184 7
2730 481 78
3965 5799 64
5042 6860 93
1430 1427 20
8006 7920 43
3951 8213 37
2255 1733 100
6380 9695 99
496 4160 21
9911 3905 41
5772 3919 93
2563 7849 31
6186 5258 97
8184 8913 33
9502 774 79
9537 5173 2
5778 5601 45
9462 3499 98
1175 4568 44
6677 2225 1
3725 1606 29
5719 9081 30
4434 8633 63
549 1054 87
2166 2529 9
4426 2211 38
3765 8441 90
2095 7167 87
9564 3235 6
8177 2591 65
9803 1001 55
4542 4009 49
7358 6688 54
2385 8560 85
3668 3843 29
7382 9663 78
8571 8642 27
6622 8880 31
8578 8480 89
3571 319 10
7938 4177 70
9949 1315 6
5882 3803 50
2019 5493 31
6267 1062 11
9434 1361 1
6140 4411 55
4300 8884 11
2952 1013 2
2320 9207 14
6904 6087 28
4431 339 37
7012 9554 3
9711 724 74
6631 1306 37
8563 67 78
6766 421 70
9056 9059 35
8698 2351 31
6086 8723 67
1018 4047 65
5596 3442 73
2810 3326 4
9606 5860 11
3453 4582 7
8707 6118 89
6148 8189 41
38 3959 2
3243 9076 27
8961 272 37
7528 7322 26
1523 5704 25
1207 5906 10
4708 5689 18
1525 2877 43
4557 4094 65
8494 8540 26
8769 7390 20
7227 1348 95
7035 986 51
1480 2551 77
1885 7183 14
9158 5054 67
3343 4528 42
580 9413 58
3568 3986 97
1020 7441 89
6384 3934 60
6471 6496 4
8987 5239 100
4042 9360 90
4078 6768 79
5929 6620 20
